Filters:
"In program","'Residential/Community Developer'"


"Parcel ID","Address","Owners"
="31042000050000","5100 183RD ST, Tinley Park, IL","-"
="31364160230000","4 APPLE LN, Park Forest, IL, 60466","-"
="16131010220000","12 S WHIPPLE ST, Chicago, IL","-"
="16131010230000","14 S WHIPPLE ST, Chicago, IL","-"
="25153200070000","18 E 110TH PL, Chicago, IL","-"
="29081010390000","33 E 144TH ST, Harvey, IL","-"
="16131100010000","121 S SACRAMENTO AVE, Chicago, IL","-"
="30171030380000","216 154TH PL, Calumet City, IL, 60409","-"
="29122020130000","283 CRANDON AVE, Calumet City, IL, 60409","-"
="29122080410000","321 PAXTON AVE, Calumet City, IL, 60409","-"
="16142140210000","323 S CENTRAL PARK AVE, Chicago, IL","-"
="29121100660000","332 MADISON AVE, Calumet City, IL, 60409","-"
="31364080270000","338 OSWEGO ST, Park Forest, IL, 60466","-"
="16142220010000","341 S CHRISTINA AVE, Chicago, IL","-"
="16142240020000","417 S CENTRAL PARK AVE, Chicago, IL","-"
="16111270420000","418 N SPRINGFIELD AVE, Chicago, IL","-"
="16111280320000","438 N AVERS AVE HSE, Chicago, IL, 60624","-"
="15141030010000","520 MADISON ST, Maywood, IL, 60153","-"
="16111180300000","524 N HARDING AVE HSE, Chicago, IL, 60624","-"
="30182250310000","790 BUFFALO AVE, Calumet City, IL, 60409","-"
="15102350020000","914 ST CHARLES RD, Maywood, IL, 60153","-"
="15102350010000","916 ST CHARLES RD, Maywood, IL, 60153","-"
="31212030020000","940 LAKE SUPERIOR DR, Matteson, IL, 60443","-"
="30192190120000","1230 BALMORAL AVE, Calumet City, IL, 60409","-"
="30192200040000","1231 BALMORAL AVE, Calumet City, IL, 60409","-"
="32202120080000","1317 VINCENNES AVE, Chicago Heights, IL, 60411","-"
="16222080120000","1331 S KOSTNER AVE HSE, Chicago, IL, 60623","-"
="30192190400000","1352 BALMORAL AVE, Calumet City, IL, 60409","-"
="30201180140000","1405 STANLEY BLVD, Calumet City, IL, 60409","-"
="16221100270000","1412 S KOSTNER AVE HSE, Chicago, IL, 60623","-"
="15102300440000","1414 ST CHARLES RD, Maywood, IL, 60153","-"
="15081070540000","1420 SPEECHLEY BLVD, Berkeley, IL, 60163","-"
="20291170020000","1433 W 72ND PL HSE, Chicago, IL, 60636","-"
="16224030320000","1630 S KEELER AVE, Chicago, IL","-"
="15101270070000","1818 ST CHARLES RD, Maywood, IL, 60153","-"
="20193200190000","2011 W 68TH PL HSE, Chicago, IL, 60636","-"
="32252070260000","2051 218TH ST, Sauk Village, IL, 60411","-"
="15143280210000","2130 S 4TH AVE, Maywood, IL","-"
="32252070350000","2141 218TH ST, Sauk Village, IL, 60411","-"
="21304000150000","2802 E 78TH ST HSE, Chicago, IL, 60649","-"
="16142150140000","3460 W FIFTH AVE, Chicago, IL","-"
="16111100260000","3946 W OHIO ST HSE, Chicago, IL, 60624","-"
="16224010300000","4246 W 17TH ST, Chicago, IL","-"
="31344030090000","4247 POLK AVE, Richton Park, IL, 60471","-"
="16224010290000","4248 W 17TH ST, Chicago, IL","-"
="16224010280000","4250 W 17TH ST, Chicago, IL","-"
="16224010270000","4254 W 17TH ST, Chicago, IL","-"
="16224010250000","4258 W 17TH ST, Chicago, IL","-"
="31273130140000","4506 POPLAR AVE, Richton Park, IL, 60471","-"
="16161040630000","5328 W ADAMS ST HSE, Chicago, IL, 60644","-"
="20182170230000","5706 S WOLCOTT AVE HSE, Chicago, IL, 60636","-"
="20161230040000","5800 S WALLACE ST, Chicago, IL","-"
="20181230050000","5816 S HOYNE AVE, Chicago, IL","-"
="20171280220000","5825 S LOOMIS BLVD, Chicago, IL","-"
="20174220300000","6130 S GREEN ST HSE, Chicago, IL, 60621","-"
="20222080110000","6441 S MARTIN LUTHER KING DR, Chicago, IL","-"
="20222080120000","6443 S MARTIN LUTHER KING DR, Chicago, IL","-"
="20331090370000","8013 S EMERALD AVE HSE, Chicago, IL, 60620","-"
="20314040330000","8348 S PAULINA ST HSE, Chicago, IL, 60620","-"
="26062110240000","8800 S BALTIMORE AVE, Chicago, IL","-"
="26062110250000","8804 S BALTIMORE AVE, Chicago, IL","-"
="26062110270000","8808 S BALTIMORE AVE, Chicago, IL","-"
="26062110280000","8810 S BALTIMORE AVE, Chicago, IL","-"
="26062110290000","8814 S BALTIMORE AVE, Chicago, IL","-"
="26062110300000","8816 S BALTIMORE AVE, Chicago, IL","-"
="26062110310000","8818 S BALTIMORE AVE, Chicago, IL","-"
="26062110320000","8820 S BALTIMORE AVE, Chicago, IL","-"
="26062110330000","8824 S BALTIMORE AVE, Chicago, IL","-"
="26062110340000","8826 S BALTIMORE AVE, Chicago, IL","-"
="26062110350000","8828 S BALTIMORE AVE, Chicago, IL","-"
="26062110360000","8830 S BALTIMORE AVE, Chicago, IL","-"
="26062110370000","8834 S BALTIMORE AVE, Chicago, IL","-"
="26062110380000","8836 S BALTIMORE AVE, Chicago, IL","-"
="26062110390000","8838 S BALTIMORE AVE, Chicago, IL","-"
="26062110400000","8840 S BALTIMORE AVE, Chicago, IL","-"
="26062120140000","8841 S BALTIMORE AVE, Chicago, IL","-"
="26062110410000","8844 S BALTIMORE AVE, Chicago, IL","-"
="26062110420000","8846 S BALTIMORE AVE, Chicago, IL","-"
="26062110430000","8848 S BALTIMORE AVE, Chicago, IL","-"
="26062110440000","8850 S BALTIMORE AVE, Chicago, IL","-"
="26062110450000","8854 S BALTIMORE AVE, Chicago, IL","-"
="26062110460000","8856 S BALTIMORE AVE, Chicago, IL","-"
="25041290220000","9000 S EGGLESTON AVE, Chicago, IL","-"
="25041290230000","9004 S EGGLESTON AVE, Chicago, IL","-"
="25041290250000","9008 S EGGLESTON AVE, Chicago, IL","-"
="25044090330000","9320 S PERRY AVE HSE, Chicago, IL, 60620","-"
="25122230050000","9723 S CRANDON AVE HSE, Chicago, IL, 60617","-"
="25103280160000","10200 S SOUTH PARK AVE, Chicago, IL","-"
="25103280170000","10204 S SOUTH PARK AVE, Chicago, IL","-"
="25223000110000","11561 S STATE ST HSE, Chicago, IL, 60628","-"
="29024020300000","14234 KENWOOD AVE, Dolton, IL, 60419","-"
="29023230210000","14418 UNIVERSITY AVE, Dolton, IL, 60419","-"
="29023240060000","14419 UNIVERSITY AVE, Dolton, IL, 60419","-"
="29111100090000","14606 LINCOLN AVE, Dolton, IL, 60419","-"
="29111130360000","14622 SHEPARD DR, Dolton, IL, 60419","-"
="29111150210000","14624 UNIVERSITY AVE, Dolton, IL, 60419","-"
="29112020560000","14632 KENWOOD AVE, Dolton, IL, 60419","-"
="29084040470000","14701 WASHINGTON AVE, Harvey, IL, 60426","-"
="29112130220000","14720 DANTE AVE, Dolton, IL, 60419","-"
="29092030520000","14722 EDBROOKE AVE, Dolton, IL, 60419","-"
="29111180230000","14753 LINCOLN AVE, Dolton, IL, 60419","-"
="29111210040000","14768 LINCOLN AVE, Dolton, IL, 60419","-"
="29102310150000","14900 LANGLEY AVE, Dolton, IL, 60419","-"
="29102330520000","14906 COTTAGE GROVE AVE, Dolton, IL, 60419","-"
="29084220180000","15025 CENTER AVE, Harvey, IL, 60426","-"
="29084220440000","15039 CENTER AVE, Harvey, IL, 60426","-"
="29104090140000","15108 OAK ST, Dolton, IL, 60419","-"
="29103080290000","15134 BEACHVIEW TER, Dolton, IL, 60419","-"
="29103040860000","15300 WOODLAWN WEST AVE, South Holland, IL, 60473","-"
="29103120130000","15314 WOODLAWN WEST AVE, South Holland, IL, 60473","-"
="29103120140000","15320 WOODLAWN WEST AVE, South Holland, IL, 60473","-"
="29114130560000","15341 DORCHESTER AVE, Dolton, IL, 60419","-"
="29292060170000","17040 HALSTED ST, Harvey, IL, 60426","-"
="28352040350000","17617 CENTRAL PARK AVE, Hazel Crest, IL, 60429","-"
="31033080040000","18725 BAKER AVE, Country Club Hills, IL, 60478","-"
="31034130100000","18831 MAPLE AVE, Country Club Hills, IL, 60478","-"
="31242030150000","20741 SPARTA CT, Olympia Fields, IL, 60461","-"
="15101190500000","7 S 19TH AVE, Maywood, IL, 60153","-"
="16131020110000","17 S WHIPPLE ST, Chicago, IL, 60612","-"
="25212300120000","17 W 114TH PL, Chicago, IL, 60628","-"
="25221090200000","20 E 113TH PL, Chicago, IL, 60628","-"
="15152000150000","20 S 16TH AVE, Maywood, IL, 60153","-"
="25214070260000","22 W 116TH ST, Chicago, IL, 60628","-"
="15152000160000","24 S 16TH AVE, Maywood, IL, 60153","-"
="16093230170000","25 N LOCKWOOD AVE, Chicago, IL, 60644","-"
="25214070250000","26 W 116TH ST, Chicago, IL, 60628","-"
="16131020150000","27 S WHIPPLE ST, Chicago, IL, 60612","-"
="15152000170000","28 S 16TH AVE, Maywood, IL, 60153","-"
="15111330320000","31 N 8TH AVE, Maywood, IL, 60153","-"
="16131020360000","38 S SACRAMENTO AVE, Chicago, IL, 60612","-"
="16131010330000","38 S WHIPPLE ST, Chicago, IL, 60612","-"
="16131010190000","39 S ALBANY AVE, Chicago, IL, 60612","-"
="25212300060000","41 W 114TH PL, Chicago, IL, 60628","-"
="25103220370000","50 E 102ND PL, Chicago, IL, 60628","-"
="16093200130000","50 N LONG AVE, Chicago, IL, 60644","-"
="25214200110000","54 W 118TH ST, Chicago, IL, 60628","-"
="25033220350000","58 E 95TH ST, Chicago, IL, 60619","-"
="25033220360000","60 E 95TH ST, Chicago, IL, 60619","-"
="25214050620000","100 W 116TH ST, Chicago, IL, 60628","-"
="32034030150000","105 S WILLOW LN, Glenwood, IL, 60425","-"
="25212280380000","106 W 115TH ST, Chicago, IL, 60628","-"
="25164290110000","111 W 110TH PL, Chicago, IL, 60628","-"
="25164040010000","125 W 107TH ST, Chicago, IL, 60628","-"
="25284230580000","126 E 127TH ST, Chicago, IL, 60628","-"
="29103120030000","136 E 154TH ST, South Holland, IL, 60473","-"
="25164250240000","142 W 110TH PL, Chicago, IL, 60628","-"
="25214180320000","144 W 118TH ST, Chicago, IL, 60628","-"
="20214150150000","160 W 70TH ST, Chicago, IL, 60621","-"
="25044120230000","178 W 95TH ST, Chicago, IL, 60628","-"
="16094080190000","201 N LECLAIRE AVE, Chicago, IL, 60644","-"
="16094060210000","216 N LEAMINGTON AVE, Chicago, IL, 60644","-"
="15104070130000","218 S 9TH AVE, Maywood, IL, 60153","-"
="16094100060000","221 N LAPORTE AVE, Chicago, IL, 60644","-"
="25214240330000","236 W 119TH ST, Chicago, IL, 60628","-"
="25212010040000","245 W 111TH ST, Chicago, IL, 60628","-"
="25033250400000","256 E 95TH ST, Chicago, IL, 60619","-"
="29084040070000","294 E SIBLEY BLVD, Harvey, IL, 60426","-"
="16151180040000","306 S KOLMAR AVE, Chicago, IL, 60624","-"
="25164110360000","310 W 109TH ST, Chicago, IL, 60628","-"
="25164110150000","311 W 108TH PL, Chicago, IL, 60628","-"
="25212250350000","316 W 115TH ST, Chicago, IL, 60628","-"
="16131210160000","325 S SACRAMENTO BLVD, Chicago, IL, 60612","-"
="20212040150000","344 W 65TH ST, Chicago, IL, 60621","-"
="25092000030000","349 W 95TH ST, Chicago, IL, 60628","-"
="31163110210000","351 W CENTRAL AVE, Matteson, IL, 60443","-"
="16151180050000","356 S KOLMAR AVE, Chicago, IL, 60624","-"
="31163110250000","375 W CENTRAL AVE, Matteson, IL, 60443","-"
="31163090680000","400 W CENTRAL AVE, Matteson, IL, 60443","-"
="16111280500000","401 N SPRINGFIELD AVE, Chicago, IL, 60624","-"
="16151290010000","403 S KILBOURN AVE, Chicago, IL, 60624","-"
="16111290400000","414 N HAMLIN AVE, Chicago, IL, 60624","-"
="16161190310000","414 S LARAMIE AVE, Chicago, IL, 60644","-"
="16111280170000","417 N SPRINGFIELD AVE, Chicago, IL, 60624","-"
="20154010290000","418 E 61ST ST, Chicago, IL, 60637","-"
="16111290160000","419 N AVERS AVE, Chicago, IL, 60624","-"
="16111280160000","419 N SPRINGFIELD AVE, Chicago, IL, 60624","-"
="25093310310000","420 W 103RD ST, Chicago, IL, 60628","-"
="20283320050000","421 W WINNECONNA PKY, Chicago, IL, 60620","-"
="25093310300000","422 W 103RD ST, Chicago, IL, 60628","-"
="20211290120000","426 W 66TH PL, Chicago, IL, 60621","-"
="25211060080000","431 W 111TH ST, Chicago, IL, 60628","-"
="20154170130000","432 E 63RD ST, Chicago, IL, 60637","-"
="16111270370000","432 N SPRINGFIELD AVE, Chicago, IL, 60624","-"
="16111290100000","437 N AVERS AVE, Chicago, IL, 60624","-"
="20163140230000","438 W 61ST ST, Chicago, IL, 60621","-"
="20211300130000","438 W MARQUETTE RD, Chicago, IL, 60621","-"
="16111290090000","439 N AVERS AVE, Chicago, IL, 60624","-"
="16111270100000","439 N HARDING AVE, Chicago, IL, 60624","-"
="16111280310000","440 N AVERS AVE, Chicago, IL, 60624","-"
="16111270090000","441 N HARDING AVE, Chicago, IL, 60624","-"
="20283190270000","444 W WINNECONNA PKY, Chicago, IL, 60620","-"
="16111280280000","448 N AVERS AVE, Chicago, IL, 60624","-"
="25161050030000","449 W 103RD ST, Chicago, IL, 60628","-"
="16111260060000","452 N HARDING AVE, Chicago, IL, 60624","-"
