Parcel ID,Address,Investment Flag,Estimated Value,Confidence,Comp Count,Price/sqft,Sqft,Beds,Baths,Year Built,Assessed Value,Last Sale Price,Last Sale Date,Prop Type,Status,Notes
29084040070000,"294 E SIBLEY BLVD, HARVEY, IL, 60426",UNKNOWN,N/A,NONE,0,N/A,,,,,N/A,N/A,,,failed,"HTTP 400: {""status"":{""version"":""1.0.0"",""code"":400,""msg"":""SuccessWithoutResult"",""total"":0,""responseDateTime"":""2"
16133190130000,"2829 W ARTHINGTON ST, CHICAGO, IL, 60612",NO,"$72,750",LOW,24,N/A,,6.0,,,N/A,N/A,,,success,24 comp(s) used | variance 195.6%
26062110410000,"8844 S BALTIMORE AVE, CHICAGO, IL 60601",NO,"$169,500",LOW,24,N/A,,,,,N/A,N/A,,,success,24 comp(s) used | variance 66.2%
16222260110000,"1529 S TRIPP AVE, CHICAGO, IL, 60623",YES,"$332,000",LOW,23,N/A,,,,,N/A,N/A,,,success,23 comp(s) used | variance 57.2%
16142240400000,"3516 W CONGRESS PKY, CHICAGO, IL, 60624",NO,"$205,000",LOW,25,N/A,,,,,N/A,N/A,,,success,25 comp(s) used | variance 570.3%
29032040300000,"678 E 142ND ST, DOLTON, IL, 60419",NO,"$148,000",LOW,24,N/A,,4.0,,,N/A,N/A,,,success,24 comp(s) used | variance 56.3%
16103250010000,"4663 W WEST END AVE, CHICAGO, IL, 60644",NO,"$250,000",LOW,25,N/A,,,,,N/A,N/A,,,success,25 comp(s) used | variance 103.9%
20171210350000,"5728 S THROOP ST, CHICAGO, IL, 60636",NO,"$124,000",LOW,23,N/A,,,,,N/A,N/A,,,success,23 comp(s) used | variance 120.9%
20224010270000,"6718 S RHODES AVE, CHICAGO, IL, 60637",NO,"$227,000",LOW,24,N/A,,,,,N/A,N/A,,,success,24 comp(s) used | variance 76.0%
25093260100000,"10231 S UNION AVE 1, CHICAGO, IL, 60628",NO,"$170,000",LOW,22,N/A,,3.0,,,N/A,N/A,,,success,22 comp(s) used | variance 52.7%
20331010370000,"7956 S UNION AVE, CHICAGO, IL, 60620",NO,"$250,000",LOW,25,N/A,,,,,N/A,N/A,,,success,25 comp(s) used | variance 56.6%
26062110420000,"8846 S BALTIMORE AVE, CHICAGO, IL 60601",NO,"$169,500",LOW,24,N/A,,,,,N/A,N/A,,,success,24 comp(s) used | variance 66.2%
25153170330000,"10948 S MICHIGAN AVE, CHICAGO, IL, 60628",NO,"$121,000",LOW,24,N/A,,,,,N/A,N/A,,,success,24 comp(s) used | variance 77.0%
16142160070000,"3553 W FIFTH AVE, CHICAGO, IL, 60624",UNKNOWN,N/A,NONE,0,N/A,,,,,N/A,N/A,,,failed,"HTTP 400: {""status"":{""version"":""1.0.0"",""code"":400,""msg"":""SuccessWithoutResult"",""total"":0,""responseDateTime"":""2"
16151180040000,"306 S KOLMAR AVE, CHICAGO, IL, 60624",YES,"$330,000",LOW,25,N/A,,,,,N/A,N/A,,,success,25 comp(s) used | variance 92.0%
16092010210000,"703 N LEAMINGTON AVE, CHICAGO, IL, 60644",MAYBE,"$300,000",LOW,25,N/A,,,,,N/A,N/A,,,success,25 comp(s) used | variance 42.1%
16241050070000,"1531 S KEDZIE AVE, CHICAGO, IL, 60623",MAYBE,"$285,000",LOW,25,N/A,,,,,N/A,N/A,,,success,25 comp(s) used | variance 106.0%
16131060170000,"2834 W MONROE ST, CHICAGO, IL, 60612",NO,"$172,500",LOW,24,N/A,,,,,N/A,N/A,,,success,24 comp(s) used | variance 99.1%
16101080360000,"4716 W RACE AVE, CHICAGO, IL, 60644",NO,"$256,000",LOW,25,N/A,,,,,N/A,N/A,,,success,25 comp(s) used | variance 63.8%
20172200120000,"5737 S MORGAN ST, CHICAGO, IL, 60621",NO,"$140,000",LOW,24,N/A,,,,,N/A,N/A,,,success,24 comp(s) used | variance 96.8%
20331150170000,"8049 S VINCENNES AVE, CHICAGO, IL, 60620",NO,"$251,000",LOW,25,N/A,,2.0,,,N/A,N/A,,,success,25 comp(s) used | variance 371.6%
20194030290000,"6720 S WOOD ST, CHICAGO, IL, 60636",NO,"$120,000",LOW,24,N/A,,,,,N/A,N/A,,,success,24 comp(s) used | variance 71.8%
25281250240000,"12228 S UNION AVE, CHICAGO, IL, 60628",NO,"$121,250",LOW,24,N/A,,3.0,,,N/A,N/A,,,success,24 comp(s) used | variance 60.5%
20184110020000,"6003 S HONORE ST 2, CHICAGO, IL, 60636",NO,"$81,250",LOW,24,N/A,,3.0,,,N/A,N/A,,,success,24 comp(s) used | variance 127.4%
26062110430000,"8848 S BALTIMORE AVE, CHICAGO, IL 60601",NO,"$169,500",LOW,24,N/A,,,,,N/A,N/A,,,success,24 comp(s) used | variance 66.2%
25164110360000,"310 W 109TH ST, CHICAGO, IL, 60628",NO,"$105,000",LOW,21,N/A,,2.0,,,N/A,N/A,,,success,21 comp(s) used | variance 71.8%
16142160020000,"3573 W FIFTH AVE, CHICAGO, IL, 60624",UNKNOWN,N/A,NONE,0,N/A,,,,,N/A,N/A,,,failed,"HTTP 400: {""status"":{""version"":""1.0.0"",""code"":400,""msg"":""SuccessWithoutResult"",""total"":0,""responseDateTime"":""2"
20272060240000,"712 E 72ND ST, CHICAGO, IL, 60619",NO,"$150,000",LOW,25,N/A,,3.0,,,N/A,N/A,,,success,25 comp(s) used | variance 94.0%
16222260120000,"1531 S TRIPP AVE, CHICAGO, IL, 60623",YES,"$332,000",LOW,23,N/A,,,,,N/A,N/A,,,success,23 comp(s) used | variance 57.2%
16133030310000,"2836 W FLOURNOY ST, CHICAGO, IL, 60612",NO,"$250,000",LOW,25,N/A,,,,,N/A,N/A,,,success,25 comp(s) used | variance 108.8%
16103280240000,"4720 W MADISON ST, CHICAGO, IL, 60644",MAYBE,"$310,000",LOW,25,N/A,,,,,N/A,N/A,,,success,25 comp(s) used | variance 80.7%
20181180190000,"5741 S SEELEY AVE, CHICAGO, IL, 60636",NO,"$245,000",LOW,25,N/A,,4.0,,,N/A,N/A,,,success,25 comp(s) used | variance 44.9%
20194070120000,"6733 S MARSHFIELD AVE, CHICAGO, IL, 60636",NO,"$83,000",LOW,24,N/A,,,,,N/A,N/A,,,success,24 comp(s) used | variance 154.5%
20331080150000,"8057 S HALSTED ST, CHICAGO, IL, 60620",NO,"$246,250",LOW,24,N/A,,2.0,,,N/A,N/A,,,success,24 comp(s) used | variance 62.7%
26062110440000,"8850 S BALTIMORE AVE, CHICAGO, IL 60601",NO,"$192,500",LOW,24,N/A,,,,,N/A,N/A,,,success,24 comp(s) used | variance 66.4%
25213310190000,"11814 S WALLACE ST, CHICAGO, IL, 60628",NO,"$175,000",LOW,23,N/A,,,,,N/A,N/A,,,success,23 comp(s) used | variance 57.6%
16142160010000,"3575 W FIFTH AVE, CHICAGO, IL, 60624",UNKNOWN,N/A,NONE,0,N/A,,,,,N/A,N/A,,,failed,"HTTP 400: {""status"":{""version"":""1.0.0"",""code"":400,""msg"":""SuccessWithoutResult"",""total"":0,""responseDateTime"":""2"
25164110150000,"311 W 108TH PL, CHICAGO, IL, 60628",NO,"$105,250",LOW,22,N/A,,3.0,,,N/A,N/A,,,success,22 comp(s) used | variance 69.9%
16222270300000,"1532 S KEDVALE AVE, CHICAGO, IL, 60623",MAYBE,"$279,000",LOW,23,N/A,,,,,N/A,N/A,,,success,23 comp(s) used | variance 74.0%
16092000320000,"720 N LEAMINGTON AVE, CHICAGO, IL, 60644",MAYBE,"$307,750",LOW,24,N/A,,,,,N/A,N/A,,,success,24 comp(s) used | variance 43.3%
16133020390000,"2901 W HARRISON ST, CHICAGO, IL, 60612",MAYBE,"$302,000",LOW,24,N/A,,,,,N/A,N/A,,,success,24 comp(s) used | variance 134.7%
16153100370000,"4722 W ARTHINGTON ST, CHICAGO, IL, 60644",MAYBE,"$299,500",LOW,23,N/A,,,,,N/A,N/A,,,success,23 comp(s) used | variance 105.7%
20182220410000,"5748 S MARSHFIELD AVE, CHICAGO, IL, 60636",NO,"$102,500",LOW,24,N/A,,3.0,,,N/A,N/A,,,success,24 comp(s) used | variance 133.4%
20194060360000,"6738 S MARSHFIELD AVE, CHICAGO, IL, 60636",NO,"$73,500",LOW,24,N/A,,4.0,,,N/A,N/A,,,success,24 comp(s) used | variance 167.5%
20321090170000,"8057 S JUSTINE ST, CHICAGO, IL, 60620",NO,"$245,000",LOW,25,N/A,,,,,N/A,N/A,,,success,25 comp(s) used | variance 84.4%
31042000050000,"5100 183RD ST, TINLEY PARK, IL 60477",UNKNOWN,N/A,NONE,0,N/A,,,,,N/A,N/A,,,failed,"HTTP 400: {""status"":{""version"":""1.0.0"",""code"":400,""msg"":""SuccessWithoutResult"",""total"":0,""responseDateTime"":""2"
26063080380000,"9238 S ESSEX AVE, CHICAGO, IL, 60617",NO,"$213,000",LOW,24,N/A,,,,,N/A,N/A,,,success,24 comp(s) used | variance 40.8%
16241060240000,"3140 W 16TH ST 1, CHICAGO, IL, 60623",NO,"$240,000",LOW,18,N/A,,,,,N/A,N/A,,,success,18 comp(s) used | variance 89.7%
26062110450000,"8854 S BALTIMORE AVE, CHICAGO, IL 60601",NO,"$192,500",LOW,24,N/A,,,,,N/A,N/A,,,success,24 comp(s) used | variance 66.4%
25212190060000,"11319 S YALE AVE, CHICAGO, IL, 60628",NO,"$85,000",LOW,25,N/A,,2.0,,,N/A,N/A,,,success,25 comp(s) used | variance 127.7%
25212250350000,"316 W 115TH ST, CHICAGO, IL, 60628",NO,"$85,000",LOW,25,N/A,,,,,N/A,N/A,,,success,25 comp(s) used | variance 117.3%
16091010190000,"724 N LOTUS AVE, CHICAGO, IL, 60644",MAYBE,"$302,500",LOW,24,N/A,,3.0,,,N/A,N/A,,,success,24 comp(s) used | variance 77.9%
16221170470000,"1534 S KOSTNER AVE, CHICAGO, IL, 60623",YES,"$333,500",LOW,22,N/A,,,,,N/A,N/A,,,success,22 comp(s) used | variance 443.8%
16133060280000,"2907 W FLOURNOY ST, CHICAGO, IL, 60612",NO,"$80,000",LOW,23,N/A,,,,,N/A,N/A,,,success,23 comp(s) used | variance 237.3%
16231060030000,"3621 W ROOSEVELT RD, CHICAGO, IL, 60624",YES,"$415,000",LOW,25,N/A,,,,,N/A,N/A,,,success,25 comp(s) used | variance 173.4%
16151040130000,"4725 W MONROE ST, CHICAGO, IL, 60644",YES,"$330,000",LOW,25,N/A,,,,,N/A,N/A,,,success,25 comp(s) used | variance 78.3%
20172200350000,"5748 S SANGAMON ST, CHICAGO, IL, 60621",NO,"$210,000",LOW,24,N/A,,,,,N/A,N/A,,,success,24 comp(s) used | variance 67.4%
20214020230000,"6740 S PERRY AVE, CHICAGO, IL, 60621",NO,"$166,000",LOW,24,N/A,,4.0,,,N/A,N/A,,,success,24 comp(s) used | variance 81.3%
29044040080000,"14215 S STATE ST, RIVERDALE, IL, 60827",NO,"$128,500",LOW,25,N/A,,,,,N/A,N/A,,,success,25 comp(s) used | variance 55.2%
20324140320000,"8446 S GREEN ST, CHICAGO, IL, 60620",NO,"$140,500",LOW,25,N/A,,6.0,,,N/A,N/A,,,success,25 comp(s) used | variance 90.3%
31364160230000,"4 APPLE LN, PARK FOREST, IL, 60466",NO,"$85,000",LOW,25,N/A,,2.0,,,N/A,N/A,,,success,25 comp(s) used | variance 63.3%
26062110460000,"8856 S BALTIMORE AVE, CHICAGO, IL 60601",NO,"$192,500",LOW,24,N/A,,,,,N/A,N/A,,,success,24 comp(s) used | variance 66.4%
16141200010000,"3631 W FIFTH AVE, CHICAGO, IL, 60624",UNKNOWN,N/A,NONE,0,N/A,,,,,N/A,N/A,,,failed,"HTTP 400: {""status"":{""version"":""1.0.0"",""code"":400,""msg"":""SuccessWithoutResult"",""total"":0,""responseDateTime"":""2"
16131210160000,"325 S SACRAMENTO BLVD, CHICAGO, IL, 60612",NO,"$220,000",LOW,24,N/A,,,,,N/A,N/A,,,success,24 comp(s) used | variance 181.8%
20161210330000,"724 W 59TH ST, CHICAGO, IL, 60621",NO,"$110,000",LOW,24,N/A,,3.0,,,N/A,N/A,,,success,24 comp(s) used | variance 104.8%
16231290330000,"1536 S CENTRAL PARK AVE, CHICAGO, IL, 60623",YES,"$399,000",LOW,23,N/A,,,,,N/A,N/A,,,success,23 comp(s) used | variance 64.2%
16133020180000,"2907 W HARRISON ST, CHICAGO, IL, 60612",MAYBE,"$275,000",LOW,23,N/A,,,,,N/A,N/A,,,success,23 comp(s) used | variance 150.0%
16101020130000,"4725 W SUPERIOR ST, CHICAGO, IL, 60644",NO,"$256,000",LOW,25,N/A,,,,,N/A,N/A,,,success,25 comp(s) used | variance 65.3%
20182190370000,"5748 S WOOD ST, CHICAGO, IL, 60636",NO,"$192,500",LOW,24,N/A,,,,,N/A,N/A,,,success,24 comp(s) used | variance 57.9%
20194010250000,"6751 S WINCHESTER AVE, CHICAGO, IL, 60636",NO,"$120,000",LOW,25,N/A,,,,,N/A,N/A,,,success,25 comp(s) used | variance 90.9%
25153170190000,"10955 S WABASH AVE, CHICAGO, IL, 60628",NO,"$90,000",LOW,25,N/A,,,,,N/A,N/A,,,success,25 comp(s) used | variance 107.2%
25221080130000,"11245 S EDBROOKE AVE 1, CHICAGO, IL, 60628",NO,"$170,000",LOW,25,N/A,,3.0,,,N/A,N/A,,,success,25 comp(s) used | variance 76.9%
16131010220000,"12 S WHIPPLE ST, CHICAGO, IL 60601",YES,"$397,000",LOW,23,N/A,,,,,N/A,N/A,,,success,23 comp(s) used | variance 157.7%
20212040150000,"344 W 65TH ST, CHICAGO, IL, 60621",NO,"$82,500",LOW,24,N/A,,6.0,,,N/A,N/A,,,success,24 comp(s) used | variance 142.5%
25041290220000,"9000 S EGGLESTON AVE, CHICAGO, IL 60601",NO,"$192,000",MEDIUM,25,N/A,,,,,N/A,N/A,,,success,25 comp(s) used | variance 39.5%
25034070250000,"726 E 92ND ST, CHICAGO, IL, 60619",NO,"$149,000",LOW,24,N/A,,6.0,,,N/A,N/A,,,success,24 comp(s) used | variance 83.2%
16231260260000,"1536 S RIDGEWAY AVE, CHICAGO, IL, 60623",YES,"$370,000",LOW,23,N/A,,2.0,,,N/A,N/A,,,success,23 comp(s) used | variance 48.4%
16133020140000,"2917 W HARRISON ST, CHICAGO, IL, 60612",NO,"$250,000",LOW,23,N/A,,,,,N/A,N/A,,,success,23 comp(s) used | variance 165.3%
16023310400000,"3640 W CHICAGO AVE, CHICAGO, IL, 60651",NO,"$240,500",LOW,24,N/A,,,,,N/A,N/A,,,success,24 comp(s) used | variance 88.3%
16151040120000,"4727 W MONROE ST, CHICAGO, IL, 60644",YES,"$330,000",LOW,25,N/A,,,,,N/A,N/A,,,success,25 comp(s) used | variance 75.7%
20192030130000,"6327 S HONORE ST 1FL, CHICAGO, IL, 60636",UNKNOWN,N/A,NONE,0,N/A,,,,,N/A,N/A,,,failed,"HTTP 400: {""status"":{""version"":""1.0.0"",""code"":400,""msg"":""SuccessWithoutResult"",""total"":0,""responseDateTime"":""2"
